id,name_english,name_amharic,generic_name,category,atc_code,strength,dosage_form,unit_price_etb,is_essential,requires_prescription,storage_condition,shelf_life_months
1,Paracetamol,ፓራሲታሞል,Paracetamol,Analgesic,N02BE01,500mg,Tablet,3.5,True,False,Room temperature,24
2,Paracetamol Syrup,ፓራሲታሞል ሲሮፕ,Paracetamol,Analgesic,N02BE01,125mg/5ml,Syrup,28.0,True,False,Room temperature,18
3,Ibuprofen,አይቡፕሮፌን,Ibuprofen,NSAID,M01AE01,400mg,Tablet,5.5,True,False,Room temperature,24
4,Diclofenac,ዲክሎፌናክ,Diclofenac sodium,NSAID,M01AB05,50mg,Tablet,4.0,True,False,Room temperature,24
5,Diclofenac Injection,ዲክሎፌናክ መርፌ,Diclofenac sodium,NSAID,M01AB05,75mg/3ml,Injection,35.0,True,True,Room temperature,12
6,Aspirin,አስፒሪን,Acetylsalicylic acid,Analgesic,N02BA01,75mg,Tablet,2.5,True,False,Room temperature,24
7,Tramadol,ትራማዶል,Tramadol HCl,Opioid Analgesic,N02AX02,50mg,Capsule,12.0,False,True,Room temperature,18
8,Morphine,ሞርፊን,Morphine sulfate,Opioid Analgesic,N02AA01,10mg/ml,Injection,85.0,True,True,Room temperature,12
9,Amoxicillin,አሞክሲሲሊን,Amoxicillin,Antibiotic,J01CA04,500mg,Capsule,8.0,True,False,Room temperature,18
10,Amoxicillin Syrup,አሞክሲሲሊን ሲሮፕ,Amoxicillin,Antibiotic,J01CA04,125mg/5ml,Syrup,45.0,True,False,Room temperature,18
11,Amoxicillin-Clav,አሞክሲ-ክላቭ,Amoxicillin+Clavulanate,Antibiotic,J01CR02,625mg,Tablet,35.0,True,False,Room temperature,24
12,Azithromycin,አዚትሮማይሲን,Azithromycin,Antibiotic,J01FA10,500mg,Tablet,42.0,True,False,Room temperature,24
13,Ciprofloxacin,ሲፕሮፍሎክሳሲን,Ciprofloxacin HCl,Antibiotic,J01MA02,500mg,Tablet,18.0,True,False,Room temperature,24
14,Metronidazole,ሜትሮኒዳዞል,Metronidazole,Antibiotic,J01XD01,400mg,Tablet,4.5,True,False,Room temperature,24
15,Metronidazole IV,ሜትሮኒዳዞል አይቪ,Metronidazole,Antibiotic,J01XD01,500mg/100ml,IV Bag,120.0,True,True,Refrigerate,12
16,Doxycycline,ዶክሲሳይክሊን,Doxycycline HCl,Antibiotic,J01AA02,100mg,Capsule,7.5,True,False,Room temperature,18
17,Erythromycin,ኤሪትሮማይሲን,Erythromycin,Antibiotic,J01FA01,500mg,Tablet,9.0,True,False,Room temperature,24
18,Cotrimoxazole,ኮትሪሞክሳዞል,Sulfamethoxazole+Trimethoprim,Antibiotic,J01EE01,480mg,Tablet,3.0,True,False,Room temperature,24
19,Gentamicin,ጀንታሚሲን,Gentamicin sulfate,Antibiotic,J01GB03,80mg/2ml,Injection,25.0,True,True,Room temperature,12
20,Ceftriaxone,ሴፍትሪያክሶን,Ceftriaxone sodium,Antibiotic,J01DD04,1g,Injection,95.0,True,True,Room temperature,12
21,Clindamycin,ክሊንዳሚሲን,Clindamycin HCl,Antibiotic,J01FF01,300mg,Capsule,22.0,True,False,Room temperature,18
22,Tetracycline,ቴትራሳይክሊን,Tetracycline HCl,Antibiotic,J01AA07,250mg,Capsule,4.0,True,False,Room temperature,18
23,Artemether-Lume,አርቴሜተር-ሉሜ,Artemether+Lumefantrine,Antimalarial,P01BF01,20/120mg,Tablet,75.0,True,False,Room temperature,24
24,Chloroquine,ክሎሮኩዊን,Chloroquine phosphate,Antimalarial,P01BA01,250mg,Tablet,5.0,True,False,Room temperature,24
25,Quinine,ኩዊኒን,Quinine sulfate,Antimalarial,P01BC01,300mg,Tablet,6.5,True,False,Room temperature,24
26,Rifampicin,ሪፋምፒሲን,Rifampicin,Anti-TB,J04AB02,600mg,Capsule,45.0,True,True,Room temperature,18
27,Isoniazid,አይሶኒያዚድ,Isoniazid,Anti-TB,J04AC01,300mg,Tablet,8.0,True,True,Room temperature,24
28,Ethambutol,ኤታምቡቶል,Ethambutol HCl,Anti-TB,J04AK02,400mg,Tablet,12.0,True,True,Room temperature,24
29,Pyrazinamide,ፒራዚናሚድ,Pyrazinamide,Anti-TB,J04AK01,500mg,Tablet,10.0,True,True,Room temperature,24
